Customer_ID,First_Name,Last_Name,City,State,Country,Postal_Code,Region,Order_ID,Order_Date,Ship_Date,Sales,Product_ID,Product_Name,Category,Sub_Category,Shipper_ID,Ship_Mode
HW-14935,Helen,Wasserman,Detroit,Michigan,United States,48205,Central,CA-2018-140326,2018-09-04,2018-09-06,6.91,FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,101,First Class
BD-11725,Bruce,Degenhardt,Lafayette,Louisiana,United States,70506,South,CA-2018-125472,2018-05-30,2018-05-31,3.89,FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,101,First Class
DH-13675,Duane,Huffman,San Francisco,California,United States,94122,West,CA-2015-105249,2015-11-28,2015-11-28,7.36,FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,102,Same Day
AG-10900,Arthur,Gainer,Philadelphia,Pennsylvania,United States,19134,East,CA-2016-130785,2016-09-05,2016-09-09,28.75,FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,103,Standard Class
KM-16375,Katherine,Murray,Salem,Virginia,United States,24153,South,CA-2015-133592,2015-12-31,2016-01-07,14.94,FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,103,Standard Class
ML-17395,Marina,Lichtenstein,San Diego,California,United States,92105,West,CA-2015-156349,2015-05-26,2015-05-30,83.98,FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,103,Standard Class
DP-13390,Dennis,Pardue,Columbia,Tennessee,United States,38401,South,CA-2016-118423,2016-03-24,2016-03-27,359.06,FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,101,First Class
EN-13780,Edward,Nazzal,Grand Rapids,Michigan,United States,49505,Central,CA-2017-165848,2017-06-04,2017-06-04,14.94,FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,102,Same Day
GR-14560,Georgia,Rosenberg,San Francisco,California,United States,94110,West,US-2015-123183,2015-11-19,2015-11-25,9.96,FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,103,Standard Class
SV-20365,Seth,Vernon,Philadelphia,Pennsylvania,United States,19134,East,CA-2018-161200,2018-08-06,2018-08-10,15.4,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,104,Second Class
JE-15715,Joe,Elijah,Broomfield,Colorado,United States,80020,West,CA-2018-126914,2018-06-15,2018-06-19,77.73,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,103,Standard Class
TS-21505,Tony,Sayre,Concord,New Hampshire,United States,3301,East,CA-2018-116946,2018-12-19,2018-12-23,13.36,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,103,Standard Class
VG-21790,Vivek,Gonzalez,San Diego,California,United States,92037,West,CA-2015-156790,2015-08-08,2015-08-10,155.46,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,104,Second Class
